SBIG ST 8XE	
// from Kodak spec sheet on chip KAF 1602E.	
300	0
310	0.04
320	0.08
330	0.12
340	0.16
350	0.20
360	0.16
370	0.20
380	0.23
390	0.26
400	0.29
410	0.29
420	0.30
430	0.30
440	0.34
450	0.38
460	0.39
470	0.39
480	0.38
490	0.38
500	0.38
510	0.40
520	0.45
530	0.50
540	0.535
550	0.55
560	0.56
570	0.60
580	0.62
590	0.62
600	0.615
610	0.605
620	0.59
630	0.57
640	0.55
650	0.54
660	0.535
670	0.53
680	0.50
690	0.49
700	0.48
710	0.46
720	0.44
730	0.43
740	0.42
750	0.42
760	0.42
770	0.415
780	0.40
790	0.37
800	0.35
810	0.33
820	0.32
830	0.31
840	0.305
850	0.30
860	0.29
870	0.275
880	0.26
890	0.245
900	0.225
910	0.205
920	0.19
930	0.17
940	0.15
950	0.135
960	0.12
970	0.10
980	0.085
990	0.07
1000	0.055
1010	0.04
1020	0.03
1030	0.02
1040	0.015
1050	0.01
1060	0.008
1070	0.006
1080	0.004
1090	0.002
1100	0.001
1110	0.0005
1120	0
1130	0
1140	0
1150	0
