23A Red
// from Optec
460 0
470 0
480 0
490 0
500 0
510 0
520 0
530 0.0013
540 0.0047
550 0.0099
560 0.0143
570 0.0198
580 0.0293
590 0.0444
600 0.0905
610 0.2751
620 0.6634
630 0.8457
640 0.8946
650 0.9026
660 0.9058
670 0.9080
680 0.9080
690 0.9091
700 0.9129
710 0.9133
720 0.9123
730 0.9130
740 0.9109
750 0.9115
760 0.9115
770 0.9097
780 0.9091
790 0.9083
800 0.9068
810 0.9058
820 0.9044
830 0.9036
840 0.9039
850 0.9014
860 0.9000
870 0.9014
880 0.8996
890 0.8989
900 0.8983
910 0.8964
920 0.8964
930 0.8956
940 0.8943
950 0.8947
960 0.8938
970 0.8939
980 0.8931
990 0.8921
1000 0.8932
1010 0.8921
1020 0.8929
1030 0.8911
1040 0.8910
1050 0.8889
1060 0.8896
1070 0.8871
1080 0.8879
1090 0.8870
1100 0.8852
