29 Deep Red
// from Optec
530 0
540 0
550 0
560 0
570 0
580 0.0013
590 0.0027
600 0.0325
610 0.2103
620 0.4732
630 0.7065
640 0.7800
650 0.8052
660 0.8329
670 0.8490
680 0.8593
690 0.8623
700 0.8648
710 0.8670
720 0.8694
730 0.8677
740 0.8666
750 0.8662
760 0.8647
770 0.8662
780 0.8623
790 0.8627
800 0.8587
810 0.8594
820 0.8573
830 0.8552
840 0.8558
850 0.8541
860 0.8530
870 0.8511
880 0.8515
890 0.8489
900 0.8491
910 0.8482
920 0.8491
930 0.8491
940 0.8489
950 0.8479
960 0.8473
970 0.8464
980 0.8469
990 0.8480
1000 0.8450
1010 0.8455
1020 0.8447
1030 0.8446
1040 0.8436
1050 0.8436
1060 0.8430
1070 0.8425
1080 0.8418
1090 0.8401
1100 0.8407
