Clear Baader
// extracted from Baader spectra online, 2008.
270 0
280 0.025
290 0.06
300.0	0.100
306.5	0.181
308.7	0.257
314.3	0.329
315.6	0.381
317.8	0.426
321.2	0.472
324.3	0.533
328.2	0.578
330.3	0.601
333.3	0.666
336.8	0.693
340.7	0.747
345.0	0.776
349.4	0.823
352.8	0.841
357.6	0.876
361.5	0.890
368.9	0.924
377.1	0.948
381.9	0.963
385.3	0.969
395.3	0.984
411.3	0.992
457.2	0.983
514.0	0.993
565.5	0.996
682.4	0.992
746.1	0.979
852.6	0.920
863.9	0.917
968.7	0.849
1119.0	0.775
1200.0	0.751
1250.0   0.730
1300     0.710
