Green Baader
// extracted from Baader spectra online, 2008.
300.0	0
320 0
340 0
360 0
476.3	0.000
484.9	0.008
488.8	0.026
490.1	0.081
491.4	0.105
492.3	0.233
493.2	0.272
493.6	0.403
494.9	0.432
495.3	0.489
497.1	0.545
497.5	0.718
498.8	0.910
499.2	0.927
500.1	0.962
504.4	0.970
507.5	0.974
513.5	0.981
518.3	0.976
526.5	0.988
535.6	0.971
544.7	0.967
555.5	0.950
566.4	0.974
568.1	0.976
569.0	0.967
569.4	0.959
570.3	0.950
570.7	0.871
572.0	0.750
575.0	0.669
575.9	0.523
577.2	0.275
577.6	0.256
578.5	0.147
581.1	0.080
582.4	0.073
583.7	0.050
584.6	0.045
585.0	0.025
590.6	0.009
597.1	0.002
607.5	0.007
629.2	0.007
646.5	0.010
658.2	0.004
667.7	0.001
685.5	0.009
705.0	0.007
714.5	0.010
742.6	0.004
756.9	0.007
789.4	0.007
807.6	0.006
817.1	0.020
826.7	0.007
845.7	0.000
898.6	0.000
919.3	0.007
932.8	0.007
954.9	0.004
1019.0	0.002
1137.6	0.001
1200.0	0.000
1220 0
1240 0
1260 0
