Lum Baader
// extracted from Baader spectra online, 2008.
290 0
295 0
300.0	0.000
304.8	0.000
311.3	0.012
315.2	0.009
317.3	0.025
320.4	0.014
321.2	0.006
327.3	0.005
330.3	0.001
338.1	0.011
338.5	0.048
340.7	0.072
345.0	0.040
346.3	0.053
348.9	0.043
352.4	0.061
352.8	0.105
355.0	0.228
356.3	0.248
357.2	0.350
360.2	0.448
362.4	0.358
362.8	0.202
363.7	0.188
365.4	0.296
367.1	0.242
368.0	0.171
369.7	0.058
370.2	0.000
387.9	0.000
392.7	0.009
394.4	0.083
395.7	0.099
396.2	0.363
397.4	0.402
397.9	0.646
401.3	0.836
404.8	0.907
407.8	0.931
411.3	0.888
414.3	0.918
418.7	0.962
421.3	0.952
425.6	0.954
427.3	0.967
440.3	0.965
444.7	0.945
451.6	0.975
459.8	0.967
466.7	0.942
475.4	0.964
482.3	0.968
491.9	0.980
498.4	0.972
506.6	0.982
513.5	0.972
522.2	0.982
536.9	0.982
542.5	0.978
553.8	0.986
570.7	0.979
584.1	0.989
600.6	0.980
611.0	0.986
621.4	0.981
632.2	0.986
664.7	0.971
672.0	0.972
679.4	0.982
681.6	0.982
683.3	0.968
686.8	0.942
687.2	0.903
688.5	0.885
689.4	0.743
690.2	0.589
692.4	0.474
694.6	0.402
695.0	0.319
696.3	0.292
696.7	0.193
698.5	0.176
698.9	0.124
703.7	0.063
705.0	0.041
708.0	0.026
713.6	0.014
743.5	0.008
787.2	0.000
800 0
820 0
840 0
900 0
1000 0
1100 0
1200.0	0.000
