Red Baader
// extracted from Baader spectra online, 2008.
300.0	0.000
310 0
320 0
330 0
348.1	0.000
355.4	0.004
361.5	0.032
362.8	0.053
363.7	0.053
365.4	0.036
369.3	0.007
377.5	0.000
405.2	0.000
412.2	0.002
418.2	0.000
422.1	0.000
428.2	0.002
434.3	0.000
546.4	0.000
564.6	0.006
572.9	0.028
575.9	0.040
577.2	0.076
578.1	0.112
580.2	0.161
582.4	0.193
583.7	0.260
585.9	0.506
586.7	0.626
588.0	0.752
590.6	0.808
592.3	0.958
593.2	0.962
594.1	0.973
595.8	0.974
600.6	0.967
606.6	0.981
609.7	0.988
612.3	0.986
616.2	0.985
617.5	0.984
623.5	0.989
636.5	0.975
646.1	0.984
655.1	0.979
661.6	0.985
666.4	0.992
672.9	0.990
678.1	0.984
680.3	0.974
680.7	0.930
681.6	0.926
684.2	0.705
686.3	0.637
687.2	0.514
688.5	0.489
690.2	0.168
691.1	0.157
692.0	0.108
694.6	0.087
696.7	0.031
698.9	0.023
699.8	0.017
707.1	0.004
716.7	0.000
747.4	0.000
757.4	0.004
816.3	0.002
870.4	0.005
896.4	0.003
925.4	0.003
951.0	0.000
965.3	0.017
982.1	0.001
989.1	0.000
1170.1	0.000
1176.2	0.005
1187.9	0.014
1196.5	0.021
1199.1	0.023
1210 0.02
1220 0.14
1230 0.005
1240 0
1250 0
1260 0
1270 0
