Sloan G	
// from http://www.astro.caltech.edu/observatories/palomar/lfc/lfc.html	
377.5 0
378   0
378.5 0
379	0.0002
379.5	0.00035
380	0.0006
380.5	0.001
381	0.00145
381.5	0.00255
382	0.0037
382.5	0.00535
383	0.00765
383.5	0.01075
384	0.01415
384.5	0.0177
385	0.02185
385.5	0.0255
386	0.0295
386.5	0.034
387	0.0389
387.5	0.0454
388	0.0543
388.5	0.06485
389	0.0785
389.5	0.0948
390	0.1148
390.5	0.1354
391	0.15435
391.5	0.16715
392	0.1723
392.5	0.173
393	0.17045
393.5	0.16635
394	0.163
394.5	0.16205
395	0.1647
395.5	0.1689
396	0.17945
396.5	0.19185
397	0.20985
397.5	0.2334
398	0.2612
398.5	0.29485
399	0.3304
399.5	0.3653
400	0.39625
400.5	0.4204
401	0.43465
401.5	0.44035
402	0.44145
402.5	0.43855
403	0.4346
403.5	0.4306
404	0.4329
404.5	0.4378
405	0.44775
405.5	0.4605
406	0.4774
406.5	0.49755
407	0.5151
407.5	0.5377
408	0.55715
408.5	0.57115
409	0.5834
409.5	0.58895
410	0.5911
410.5	0.59225
411	0.5864
411.5	0.58175
412	0.57845
412.5	0.57695
413	0.5779
413.5	0.57995
414	0.5857
414.5	0.59635
415	0.6059
415.5	0.62165
416	0.63445
416.5	0.64635
417	0.65925
417.5	0.6706
418	0.6749
418.5	0.68015
419	0.6827
419.5	0.6833
420	0.67995
420.5	0.677
421	0.6756
421.5	0.67345
422	0.6713
422.5	0.6706
423	0.67275
423.5	0.67575
424	0.6797
424.5	0.6871
425	0.6941
425.5	0.70035
426	0.70735
426.5	0.712
427	0.7158
427.5	0.71925
428	0.71995
428.5	0.7193
429	0.71805
429.5	0.71165
430	0.708
430.5	0.7029
431	0.70045
431.5	0.69845
432	0.6931
432.5	0.69205
433	0.69185
433.5	0.693
434	0.6986
434.5	0.703
435	0.7097
435.5	0.7141
436	0.72015
436.5	0.73075
437	0.73965
437.5	0.74815
438	0.75695
438.5	0.7639
439	0.7691
439.5	0.77285
440	0.7764
440.5	0.77805
441	0.7789
441.5	0.78405
442	0.7835
442.5	0.7804
443	0.78375
443.5	0.7843
444	0.787
444.5	0.7887
445	0.7934
445.5	0.79405
446	0.8
446.5	0.8047
447	0.80665
447.5	0.81385
448	0.81715
448.5	0.8226
449	0.82945
449.5	0.833
450	0.8352
450.5	0.8388
451	0.83925
451.5	0.84105
452	0.8423
452.5	0.84215
453	0.84315
453.5	0.8411
454	0.84325
454.5	0.8412
455	0.84025
455.5	0.84105
456	0.84175
456.5	0.84235
457	0.84295
457.5	0.8433
458	0.84805
458.5	0.84765
459	0.8497
459.5	0.85255
460	0.8553
460.5	0.8562
461	0.8592
461.5	0.8594
462	0.86085
462.5	0.8638
463	0.86425
463.5	0.8632
464	0.86255
464.5	0.86245
465	0.86295
465.5	0.8616
466	0.86215
466.5	0.8611
467	0.86105
467.5	0.86105
468	0.8599
468.5	0.8605
469	0.8607
469.5	0.8608
470	0.8596
470.5	0.8604
471	0.8606
471.5	0.8621
472	0.8622
472.5	0.8632
473	0.8621
473.5	0.86555
474	0.86505
474.5	0.86625
475	0.86865
475.5	0.86815
476	0.8696
476.5	0.8717
477	0.8719
477.5	0.8729
478	0.874
478.5	0.8761
479	0.8788
479.5	0.87935
480	0.88255
480.5	0.8849
481	0.88625
481.5	0.8886
482	0.8919
482.5	0.89315
483	0.8972
483.5	0.8973
484	0.8959
484.5	0.90005
485	0.89875
485.5	0.89945
486	0.899
486.5	0.89645
487	0.8959
487.5	0.89525
488	0.8935
488.5	0.88825
489	0.88695
489.5	0.8834
490	0.881
490.5	0.88065
491	0.87735
491.5	0.8766
492	0.87385
492.5	0.8728
493	0.87335
493.5	0.8737
494	0.87185
494.5	0.87305
495	0.877
495.5	0.8784
496	0.88215
496.5	0.88385
497	0.8858
497.5	0.8914
498	0.8923
498.5	0.89485
499	0.89535
499.5	0.8974
500	0.8986
500.5	0.89785
501	0.89735
501.5	0.8944
502	0.8924
502.5	0.8883
503	0.88525
503.5	0.87925
504	0.87345
504.5	0.86595
505	0.86135
505.5	0.8562
506	0.8502
506.5	0.84455
507	0.8407
507.5	0.83695
508	0.83565
508.5	0.8336
509	0.83245
509.5	0.8321
510	0.8324
510.5	0.8354
511	0.83815
511.5	0.8419
512	0.8464
512.5	0.8527
513	0.85605
513.5	0.86105
514	0.8643
514.5	0.86925
515	0.8731
515.5	0.8747
516	0.8761
516.5	0.8777
517	0.8779
517.5	0.87785
518	0.87585
518.5	0.87545
519	0.87115
519.5	0.86875
520	0.8641
520.5	0.8604
521	0.86095
521.5	0.8585
522	0.8574
522.5	0.85765
523	0.8592
523.5	0.8604
524	0.86065
524.5	0.86545
525	0.8689
525.5	0.87325
526	0.8768
526.5	0.8788
527	0.88155
527.5	0.883
528	0.882
528.5	0.88135
529	0.87865
529.5	0.87395
530	0.86905
530.5	0.8612
531	0.85345
531.5	0.84515
532	0.83815
532.5	0.8295
533	0.8263
533.5	0.8205
534	0.81765
534.5	0.81385
535	0.8165
535.5	0.817
536	0.81835
536.5	0.81845
537	0.8193
537.5	0.8204
538	0.8181
538.5	0.81355
539	0.80765
539.5	0.80135
540	0.7943
540.5	0.79095
541	0.79075
541.5	0.79625
542	0.80485
542.5	0.81505
543	0.81295
543.5	0.7808
544	0.69845
544.5	0.56705
545	0.41375
545.5	0.27865
546	0.18085
546.5	0.11505
547	0.07335
547.5	0.04735
548	0.03085
548.5	0.0205
549	0.0139
549.5	0.0094
550	0.0067
550.5	0.0046
551	0.0034
551.5	0.00245
552	0.0019
552.5	0.00135
553	0.00105
553.5	0.0008
554	0.0006
554.5	0.00045
555	0.00035
555.5	0.00025
556	0.0002
556.5	0.00015
557	0.0001
557.5	0.0001
558	0.00005
558.5	0.00005
559	0.0001
559.5	0.00005
560	0
560.5	0
561	0
561.5	0
562	0
562.5	0
563	0
563.5	0
564	0
564.5	0
	
	
	
