Sloan I	
// from http://www.astro.caltech.edu/observatories/palomar/lfc/lfc.html	
650	0
650.5	0
651	0
651.5	0
652	0
652.5	0
653	0
653.5	0
654	0
654.5	0
655	0
655.5	0
656	0
656.5	0
657	0
657.5	0
658	0
658.5	0
659	0
659.5	0
660	0
660.5	0
661	0
661.5	0
662	0.00005
662.5	0.0001
663	0.0001
663.5	0.0001
664	0.00015
664.5	0.0002
665	0.00025
665.5	0.0004
666	0.00045
666.5	0.0006
667	0.0007
667.5	0.00095
668	0.00115
668.5	0.0013
669	0.00165
669.5	0.00205
670	0.0024
670.5	0.00305
671	0.0036
671.5	0.0043
672	0.00525
672.5	0.0062
673	0.00755
673.5	0.00895
674	0.0104
674.5	0.01235
675	0.01465
675.5	0.0172
676	0.0201
676.5	0.0235
677	0.0271
677.5	0.0316
678	0.0366
678.5	0.04175
679	0.0478
679.5	0.05525
680	0.06205
680.5	0.0707
681	0.07995
681.5	0.09025
682	0.0997
682.5	0.11085
683	0.12285
683.5	0.13495
684	0.14795
684.5	0.1623
685	0.1757
685.5	0.1894
686	0.2036
686.5	0.2174
687	0.23175
687.5	0.2454
688	0.2602
688.5	0.2752
689	0.28945
689.5	0.3044
690	0.31815
690.5	0.3314
691	0.3443
691.5	0.3569
692	0.37175
692.5	0.38575
693	0.3994
693.5	0.41265
694	0.4259
694.5	0.44
695	0.4517
695.5	0.465
696	0.4782
696.5	0.49335
697	0.50505
697.5	0.52005
698	0.53185
698.5	0.5451
699	0.55855
699.5	0.5722
700	0.58475
700.5	0.59495
701	0.6071
701.5	0.61765
702	0.62855
702.5	0.63935
703	0.6465
703.5	0.65815
704	0.66525
704.5	0.6748
705	0.68135
705.5	0.68995
706	0.6973
706.5	0.7012
707	0.70415
707.5	0.7084
708	0.7173
708.5	0.71935
709	0.7239
709.5	0.7305
710	0.7352
710.5	0.7361
711	0.7407
711.5	0.74675
712	0.7511
712.5	0.7591
713	0.76235
713.5	0.7682
714	0.77255
714.5	0.7807
715	0.7863
715.5	0.79485
716	0.79805
716.5	0.8056
717	0.8098
717.5	0.8234
718	0.8249
718.5	0.83395
719	0.8402
719.5	0.84545
720	0.85375
720.5	0.8585
721	0.86405
721.5	0.8694
722	0.8708
722.5	0.8765
723	0.8741
723.5	0.87825
724	0.87895
724.5	0.87765
725	0.8807
725.5	0.8808
726	0.872
726.5	0.8746
727	0.86885
727.5	0.8637
728	0.86285
728.5	0.8525
729	0.85185
729.5	0.84195
730	0.8379
730.5	0.8402
731	0.83175
731.5	0.82755
732	0.8192
732.5	0.81605
733	0.81315
733.5	0.8115
734	0.80885
734.5	0.80685
735	0.8047
735.5	0.80705
736	0.8059
736.5	0.8041
737	0.8071
737.5	0.80515
738	0.8089
738.5	0.8125
739	0.81705
739.5	0.82205
740	0.82665
740.5	0.8301
741	0.83425
741.5	0.84415
742	0.8468
742.5	0.8584
743	0.8581
743.5	0.87105
744	0.87015
744.5	0.88125
745	0.89145
745.5	0.8951
746	0.90485
746.5	0.9085
747	0.9166
747.5	0.92035
748	0.92125
748.5	0.92575
749	0.9318
749.5	0.9314
750	0.93265
750.5	0.9334
751	0.9333
751.5	0.93235
752	0.93355
752.5	0.93395
753	0.9309
753.5	0.9259
754	0.91995
754.5	0.924
755	0.9183
755.5	0.91305
756	0.90925
756.5	0.9126
757	0.9013
757.5	0.90165
758	0.9051
758.5	0.8988
759	0.8918
759.5	0.8953
760	0.89075
760.5	0.8903
761	0.8875
761.5	0.89045
762	0.8882
762.5	0.8961
763	0.89695
763.5	0.8947
764	0.8877
764.5	0.90025
765	0.8941
765.5	0.89945
766	0.8975
766.5	0.9009
767	0.9154
767.5	0.91545
768	0.9172
768.5	0.9192
769	0.92285
769.5	0.93045
770	0.9261
770.5	0.92795
771	0.92865
771.5	0.9351
772	0.941
772.5	0.9347
773	0.93685
773.5	0.9358
774	0.9387
774.5	0.9402
775	0.94565
775.5	0.939
776	0.93385
776.5	0.93745
777	0.9308
777.5	0.93395
778	0.92845
778.5	0.92995
779	0.9218
779.5	0.91975
780	0.9169
780.5	0.91165
781	0.9091
781.5	0.91395
782	0.90925
782.5	0.90805
783	0.9078
783.5	0.9031
784	0.9067
784.5	0.905
785	0.90685
785.5	0.9046
786	0.8975
786.5	0.90745
787	0.9003
787.5	0.90725
788	0.9055
788.5	0.9037
789	0.9169
789.5	0.9151
790	0.91695
790.5	0.91465
791	0.91985
791.5	0.9106
792	0.9181
792.5	0.91695
793	0.9245
793.5	0.91475
794	0.9228
794.5	0.9152
795	0.9166
795.5	0.91285
796	0.90565
796.5	0.91355
797	0.9048
797.5	0.90365
798	0.90405
798.5	0.8967
799	0.88785
799.5	0.8902
800	0.87485
800.5	0.87675
801	0.87295
801.5	0.86175
802	0.86425
802.5	0.86185
803	0.85985
803.5	0.84995
804	0.8472
804.5	0.83545
805	0.83155
805.5	0.84135
806	0.8439
806.5	0.84645
807	0.83575
807.5	0.84275
808	0.8399
808.5	0.8489
809	0.8515
809.5	0.8583
810	0.85825
810.5	0.85855
811	0.87025
811.5	0.87865
812	0.88315
812.5	0.88615
813	0.8903
813.5	0.90745
814	0.8979
814.5	0.91775
815	0.9147
815.5	0.91845
816	0.91265
816.5	0.92175
817	0.93115
817.5	0.92825
818	0.92405
818.5	0.9209
819	0.91485
819.5	0.9034
820	0.9039
820.5	0.8876
821	0.90135
821.5	0.8772
822	0.876
822.5	0.86305
823	0.8435
823.5	0.8447
824	0.8443
824.5	0.8323
825	0.8208
825.5	0.82755
826	0.8169
826.5	0.8102
827	0.8112
827.5	0.8071
828	0.8006
828.5	0.80665
829	0.80925
829.5	0.8089
830	0.8193
830.5	0.8353
831	0.8449
831.5	0.84645
832	0.85705
832.5	0.874
833	0.88325
833.5	0.885
834	0.90305
834.5	0.89625
835	0.89155
835.5	0.88765
836	0.8923
836.5	0.8658
837	0.8391
837.5	0.8153
838	0.79605
838.5	0.75225
839	0.72575
839.5	0.69725
840	0.67225
840.5	0.64345
841	0.61
841.5	0.57655
842	0.55355
842.5	0.5532
843	0.534
843.5	0.53605
844	0.5315
844.5	0.52985
845	0.55245
845.5	0.57435
846	0.6034
846.5	0.6478
847	0.7075
847.5	0.76975
848	0.85075
848.5	0.91585
849	0.9271
849.5	0.79365
850	0.6533
850.5	0.4874
851	0.33855
851.5	0.23715
852	0.16165
852.5	0.11665
853	0.08005
853.5	0.0598
854	0.0444
854.5	0.0323
855	0.02475
855.5	0.019
856	0.0164
856.5	0.01195
857	0.0085
857.5	0.00695
858	0.00545
858.5	0.0053
859	0.00265
859.5	0.0041
860	0.00055
860.5	0.00485
861	0.0195
861.5	0.01525
862	0.0116
862.5	0.00925
863	0.00755
863.5	0.00545
864	0.0044
864.5	0.0035
865	0.003
865.5	0.00215
866	0.0017
866.5	0.0014
867	0.0009
867.5	0.0006
868	0.00045
868.5	0.0007
869	0.00055
869.5	0.0001
870	0.00035
871	0
872	0
873	0
874	0
