***** EVD.Astro.Spectral._RunSpectral.ForR
TempK   nm     flux
53000 300.00 47815.474
53000 301.00 47422.291
53000 302.00 47033.327
53000 303.00 46648.526
53000 304.00 46267.835
53000 305.00 45891.200
53000 306.00 45518.569
53000 307.00 45149.890
53000 308.00 44785.111
53000 309.00 44424.182
53000 310.00 44067.054
53000 311.00 43713.678
53000 312.00 43364.006
53000 313.00 43017.990
53000 314.00 42675.583
53000 315.00 42336.741
53000 316.00 42001.417
53000 317.00 41669.567
53000 318.00 41341.146
53000 319.00 41016.112
53000 320.00 40694.423
53000 321.00 40376.035
53000 322.00 40060.907
53000 323.00 39748.999
53000 324.00 39440.270
53000 325.00 39134.682
53000 326.00 38832.193
53000 327.00 38532.767
53000 328.00 38236.365
53000 329.00 37942.951
53000 330.00 37652.486
53000 331.00 37364.934
53000 332.00 37080.261
53000 333.00 36798.430
53000 334.00 36519.408
53000 335.00 36243.158
53000 336.00 35969.649
53000 337.00 35698.846
53000 338.00 35430.717
53000 339.00 35165.229
53000 340.00 34902.350
53000 341.00 34642.050
53000 342.00 34384.296
53000 343.00 34129.059
53000 344.00 33876.308
53000 345.00 33626.013
53000 346.00 33378.146
53000 347.00 33132.677
53000 348.00 32889.578
53000 349.00 32648.821
53000 350.00 32410.378
53000 351.00 32174.222
53000 352.00 31940.325
53000 353.00 31708.662
53000 354.00 31479.206
53000 355.00 31251.931
53000 356.00 31026.812
53000 357.00 30803.824
53000 358.00 30582.942
53000 359.00 30364.141
53000 360.00 30147.397
53000 361.00 29932.687
53000 362.00 29719.987
53000 363.00 29509.274
53000 364.00 29300.525
53000 365.00 29093.717
53000 366.00 28888.829
53000 367.00 28685.839
53000 368.00 28484.724
53000 369.00 28285.464
53000 370.00 28088.037
53000 371.00 27892.423
53000 372.00 27698.602
53000 373.00 27506.552
53000 374.00 27316.254
53000 375.00 27127.689
53000 376.00 26940.837
53000 377.00 26755.679
53000 378.00 26572.195
53000 379.00 26390.368
53000 380.00 26210.179
53000 381.00 26031.609
53000 382.00 25854.641
53000 383.00 25679.257
53000 384.00 25505.439
53000 385.00 25333.171
53000 386.00 25162.435
53000 387.00 24993.215
53000 388.00 24825.494
53000 389.00 24659.255
53000 390.00 24494.482
53000 391.00 24331.160
53000 392.00 24169.273
53000 393.00 24008.805
53000 394.00 23849.740
53000 395.00 23692.064
53000 396.00 23535.762
53000 397.00 23380.819
53000 398.00 23227.221
53000 399.00 23074.952
53000 400.00 22923.999
53000 401.00 22774.348
53000 402.00 22625.984
53000 403.00 22478.895
53000 404.00 22333.067
53000 405.00 22188.486
53000 406.00 22045.139
53000 407.00 21903.014
53000 408.00 21762.096
53000 409.00 21622.375
53000 410.00 21483.836
53000 411.00 21346.469
53000 412.00 21210.259
53000 413.00 21075.197
53000 414.00 20941.269
53000 415.00 20808.463
53000 416.00 20676.769
53000 417.00 20546.175
53000 418.00 20416.669
53000 419.00 20288.240
53000 420.00 20160.877
53000 421.00 20034.569
53000 422.00 19909.305
53000 423.00 19785.076
53000 424.00 19661.869
53000 425.00 19539.675
53000 426.00 19418.483
53000 427.00 19298.284
53000 428.00 19179.067
53000 429.00 19060.822
53000 430.00 18943.540
53000 431.00 18827.210
53000 432.00 18711.824
53000 433.00 18597.371
53000 434.00 18483.843
53000 435.00 18371.230
53000 436.00 18259.524
53000 437.00 18148.714
53000 438.00 18038.792
53000 439.00 17929.750
53000 440.00 17821.578
53000 441.00 17714.268
53000 442.00 17607.812
53000 443.00 17502.201
53000 444.00 17397.427
53000 445.00 17293.482
53000 446.00 17190.357
53000 447.00 17088.044
53000 448.00 16986.536
53000 449.00 16885.825
53000 450.00 16785.903
53000 451.00 16686.762
53000 452.00 16588.396
53000 453.00 16490.795
53000 454.00 16393.953
53000 455.00 16297.863
53000 456.00 16202.518
53000 457.00 16107.909
53000 458.00 16014.031
53000 459.00 15920.876
53000 460.00 15828.438
53000 461.00 15736.709
53000 462.00 15645.682
53000 463.00 15555.352
53000 464.00 15465.712
53000 465.00 15376.754
53000 466.00 15288.473
53000 467.00 15200.862
53000 468.00 15113.915
53000 469.00 15027.626
53000 470.00 14941.988
53000 471.00 14856.995
53000 472.00 14772.642
53000 473.00 14688.922
53000 474.00 14605.830
53000 475.00 14523.359
53000 476.00 14441.505
53000 477.00 14360.260
53000 478.00 14279.620
53000 479.00 14199.580
53000 480.00 14120.132
53000 481.00 14041.273
53000 482.00 13962.996
53000 483.00 13885.297
53000 484.00 13808.170
53000 485.00 13731.609
53000 486.00 13655.610
53000 487.00 13580.168
53000 488.00 13505.277
53000 489.00 13430.933
53000 490.00 13357.130
53000 491.00 13283.864
53000 492.00 13211.130
53000 493.00 13138.923
53000 494.00 13067.238
53000 495.00 12996.071
53000 496.00 12925.416
53000 497.00 12855.271
53000 498.00 12785.629
53000 499.00 12716.486
53000 500.00 12647.838
53000 501.00 12579.681
53000 502.00 12512.010
53000 503.00 12444.821
53000 504.00 12378.109
53000 505.00 12311.871
53000 506.00 12246.103
53000 507.00 12180.799
53000 508.00 12115.956
53000 509.00 12051.571
53000 510.00 11987.638
53000 511.00 11924.155
53000 512.00 11861.116
53000 513.00 11798.519
53000 514.00 11736.360
53000 515.00 11674.634
53000 516.00 11613.338
53000 517.00 11552.468
